skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
MonPowerStrike	344			6	2																																																																																																								1	4		h2h												A1	A1	A1				1		1	1								1										((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage																	1	0	0						0															ltng	256						320						clc4*300									0
SuccubusBolt	345			4										succubusmiss																																																																													11					succubusmiss													1	0		rng												SC	SC	S2				1													1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage																	1								0															mag	256						320						clc4*150									0
MephFrostNova	346				22												mephfrostnova	mephfrostnova	mephfrostnova																																																										sorceress_cast_cold															25					frostnova												1	6		none												SC	SC	A2																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage	9	radius of freeze	0	additional radius/level													1								0															cold	256						313						clc4*100	50								0
MonIceSpear	347			6	2																																																																																																								1	4		h2h												A1	A1	A1				1		1	1								1										((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage																	1	0	0						0	1														cold	256						313						clc4*250	50								0
ShamanIce	348													shamanice										ln34 * (100 + skill('monBlizzard'.blvl) * par7) / 100	ln12																																																				sorceress_cast_cold																			shamanice													1	7		none												SC	SC	xx																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage	4	radius	0	radius per level	50	freeze frames	3	freeze frames per level									1								0															cold	256						313						clc4*250	50								0
Diablogeddon	349				124												diablogeddoncontrol	diablogeddoncontrol	diablogeddoncontrol			armageddon		ln12	par3																																																				druid_firecast_a																92				diablogeddontail	diablogeddonrock			25	frames	25	fall rate	15	slide rate			1	0		none												SC	SC	S3				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 /2	Phys+Fire Damage	7500	base duration	25	duration per level	35	radius to drop meteors	2	frame delay between rocks									1								0	1	256						300						(100+stat('passive_phys_mastery'.accr)) * (100+clc4*30)/100-100	fire	256						300						clc4*100									0
Delerium Change	350		delerium change		116																	delerium		1500		velocitypercent	33	attackrate	33	other_animrate	33																																																												45																		1	0		none												SC	SC	NU				1													1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																																																										1								8																																					0
NihlathakCorpseExplosion	351			17	55																				ln34																																																			1	necromancer_corpse_cast								necromancer_corpseexp_1						21	32					corpseexplosion	explodingarrowexp	redlightmissile										1	0		none												SC	SC	xx								1		1	1						1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										par1	% target hp min damage	par2	% target hp max damage	par5	% damage to do as elemental			10	% of base monster HP min damage	20	% of base monster HP max damage	6	Min radius (6=4.0 yards)	1	Radius increment (2/3 yards)	50	% damage to do as elemental							1								8															fire																						0
SerpentCharge	352			31	67																																																																																						25	37																	1	2		none												SQ	A1	xx	4					1	1								1										((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																																										150	percent increase in velocity			0	plus % damage	0	plus % dam per level									1	0	0						8	128																																				0
Trap Nova	353				22												nova	nova	nova																																																										sorceress_cast_lightning											light_cast_1				25					trapnova												1	2		none												SC	SC	xx																	1						sorceress_cast_lightning		((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																																								skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage	64	number of missiles	0	additional missiles per level													1								0															ltng	256						320						clc4*200									0
UnHolyBoltEx	354													unholybolt1																																																																																		unholybolt1													1	0		none												SQ	SQ	xx																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
ShamanFireEx	355													shafire1																																																																																		shafire1													1	0		none												SQ	SQ	xx																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Imp Fire Missile Ex	356													impmiss21																																																															sorceress_cast_fire											fist_will_cast								impmiss21													1	0		none												A1	A1	A1																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										lvl-1	range adder								?		?		?		?		?		?					1								8																																					0
Duriel Leap	357		leap attack	41	78															bash																																																								1		barbarian_leapattack_1													30	44																	1	6		none		mele										SQ	A1	xx	14		1			1																			((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1						Leap								1						1	8	9	0											200	dmg%							10	min distance	40	max distance	50	Min % damage bonus	0	% damage bonus	4	Knockback range	2	knockback range per level			0	damage synergy	1	0	0						0	128																																				0
Glacial Impale	358		glacial spike											glacialspike2										ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																				sorceress_cast_cold											ice_cast_2								glacialspike2													1	7		none												SC	SC	SC																	1						sorceress_cast_cold		((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1						Ice Blast								1						1	7	20	1	1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage	7	radius	0	radius per level	50	freeze frames	1	freeze frames per level					3	freeze synergy	0	damage synergy	1								0															cold	256						313						clc4*200	50								0
PrimeSpear	359		multiple shot	4	8												primespear	primespear																																																											necromancer_bone_cast														11	17					primespear	primespear											1	7		rng		miss										A1	A1	xx				1													1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1						Magic Arrow								1		1				1	8	4	1	1										par1 +par2*((lvl>=40)?3 :((lvl>=20)?2 :1))	# missiles	par3	activation frame	2	triggered	skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage	3	arrows to fire	2	+Arrows per boss level	1	Acivation frame of arrows.											1	0	0						0															mag	256						320						clc4*200									0
PrimeTeeth	360				8												primeteeth																																																												necromancer_bone_cast														19	17					primeteeth	primeteeth	bonecast										1	1		none												SC	SC	xx																	1						necromancer_bone_cast		((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1														1						1	7	6	1	1										par1 +par2*((lvl>=40)?3 :((lvl>=20)?2 :1))	# missiles	par3	activation frame			skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage	6	Teeth to fire	4	+Teeth per boss level	0	Acivation frame of teeth									0	damage synergy	1								0															mag	256						320						clc4*100									0
BigTornado	361		tornado		118												bigtornado				42371				par2																																																				druid_windcast															69					bigtornado												1	0		none												SC	SC	xx				1	4												1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1														1						1	8	10	0	1										3	# missiles			skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage	par1	damage delay	25	Frame delay between damage	1	Radius of damage											0	damage synergy	1								0		256						300						(100+stat('passive_phys_mastery'.accr)) * (100+clc3*80)/100-100																							0
DiabloBreath	362			4	8												diablobreath	diablobreath																																																											diablo_fire_cast														11	17					diablobreath	diablobreath											1	7		rng		miss										A1	A1	xx				1													1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1						Magic Arrow								1		1				1	8	4	1	1										par1 +par2*((lvl>=40)?3 :((lvl>=20)?2 :1))	# missiles	par3	activation frame	2	triggered	skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage	3	arrows to fire	2	+Arrows per boss level	1	Acivation frame of arrows.											1	0	0						8															fire																						0
Poison Ring	363		poison nova		22												poisonring																																																												necromancer_poison_cast															25					poisonring												1	3		none												SC	SC	xx																	1						necromancer_poison_cast		((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1						Poison Explosion														1	8	20	0	1																skill('Attack'.clc4)*256/25*((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 /2	Damage (per frame)															0	damage synergy	1								0															pois	1						1						clc4*200	100								0
